index,author,location,date,headline,review_body,review_rating,num_like,language,itemName
518,Kevin Leberger,unknown,2020-06-07T13:37:59.000Z,Ok but not refunds at risk during lockdown.,"Short mention that despite the risk of losing holiday money due to lockdown, I was fully refunded eventually.  Thank you for this.",4,2,en,Bookingstar2345
519,Stephanie Rogers,unknown,2020-06-05T16:09:35.000Z,Good communication throughout,"Good communication throughout, I was notified by email 29th April that our hotel booking for end of May was cancelled and opted for a refund which was very straightforward. Would be 5 stars but upon asking how long the refund would take I was incorrectly told it would be 7 to 12 days and to contact them after 15 days if I had not received anything. I did so and was then told the refund would be processed when the hotel reopened on 1st June, not a problem but knowing this from the outset would have been preferable. Money is back in my account 5th June so very pleased. Responses were quick and at least booking.com actually answer unlike my travel agency which has gone to ground with thousands of my money! Well done booking.com",4,0,en,Bookingstar2345
520,David,unknown,2020-06-05T14:29:38.000Z,Fantastic,Fantastic! Always first choice worldwide!,5,0,en,Bookingstar2345
521,Sean Caldwell,unknown,2020-06-05T11:25:02.000Z,Recent Cancellations I have had to make at Booking.com,"I had booked a ferry to Ireland for July this year to go on a road trip around Ireland.  I used Booking.com to find a number of hotels around Ireland.I found the system easy to use and got a variety of excellently priced hotels/B&B's around Ireland.About a 6 weeks ago through booking.com, one of the hotels told me they had to cancel the booking due to COVID-19 (it was a B&B and the owner had been told b their doctor that they were vulnerable).  We were fully refunded through Booking.com.A number of weeks later another hotel cancelled our booking.  In anticipation of other cancellations, we decided we needed to cancel our booking and went through Booking.com to do this.  We found the whole sysem on line very easy to use.  We were sent e-mails for each booking saying they would be processed within 7 - 12 days, we actually got the refunds in my bank account within a couple of days.I am new to this trust pilot site and actually came on to complain about how Direct Ferries had handled the cancellation of our ferry booking for this holiday.  I then thought I would visit the section for Booking.com to leave a positive review, as I appreciate we are often quick to complain but rarely compliment when someone does something well.  I was amazed at the rating Booking.com has and the fact that there were a lot of complaints.  I can honestly say:       1.  I find their website easy to use, always find good places to stay at good prices and I  have used it for years.       2.  They have dealt with my booking cancellations efficiently, promptly and fairly.",5,0,en,Bookingstar2345
522,Charlotte,unknown,2020-06-05T07:09:43.000Z,No customer service at all,"I booked through booking.comas have done a few times in the past, we'll never again. Booked stay inn at Manchester for June as we were going to the arena all booked in 2019. Due to covid the date changed to 2021 so I contacted booking.com 1st week in April to re-arrange date as I'd tried the hotel number & the email address on the website was incorrect. Stephen at booking.com told me he would contact the hotel & get back to me to see if they would allow a change of date, still waiting now for that contact. I have since found the correct email address & contacted the hotel who emailed straight back to me & have changed the dates for our stay. No excuse other than crap customer service, they clearly don't care about the customers. Like I said I will be going through the hotels directly now.",2,1,en,Bookingstar2345
523,Fam. Steijn,unknown,2020-06-04T16:54:29.000Z,Very quick reapond,Sent a request on june 3 11pm about the not cancellable booking that we have made and ask to cancel it due to unavoidable circumstances. Woke up this morning june 4 and got the reply all ready and the refund was immediately on our account.  Thumbs thumbs up for the very quick respond.,5,0,en,Bookingstar2345
524,Santiago,unknown,2020-06-02T10:53:30.000Z,Supportive,"I have to say booking.com has perfectly attended and solved all my requests/cancellations due to the Covid-19 crisis. Despite being overloeaded, they managed to answer all my phone calls and politely help me with my bookings, specially with those where I had no free cancellation. So, big thanks to the guys answering to people's requests and to the platform for being so responsive in such difficult times.",5,0,en,Bookingstar2345
525,Mcginlay ,unknown,2020-06-01T07:00:26.000Z,we had our holiday cancelled due to…,we had our holiday cancelled due to covid 19.  Got in touch with booking.com that day for a refund for our villa.  The company contacted the agent responsible for our villa and we go a refund that day.  Great result.  Thank you  will defo use this company again.,5,0,en,Bookingstar2345
526,Martin,unknown,2020-05-28T19:32:50.000Z,Non refundable hotel in Italy,"Like many our pre-paId, non refundable hotel booking (in Italy, mid May) could not be completed.   At first things did not look good with booking.com but a little perseverence brought forth a full refund.  Will therefore continue to use them with reasonable confidence.  Now if only Secret Escapes was so easy...",5,0,en,Bookingstar2345
527,TJ,unknown,2020-05-28T00:03:32.000Z,How to get a COVID 19 travel refund from booking.com,"COVID 19 travel information hard to find but I found it and was finally after weeks of trying I was able to get a refund.  Booking.com calls if Forced Circumstances or Force Majeure  look under  partner.booking.com en-gb/help/legal-security/important-information-regarding-coronavirus or you can go to booking.com and go to the partner page under COVID 19 and find it there.1. Conditions of Force Majeure/Forced CircumstancesThe safety of our partners and guests is of utmost importance. As a result of the official travel advice received from Government organisations about the Coronavirus (COVID-19), guests are unable to travel to or stay at accommodations located in areas that are severely affected.In addition, international travel restrictions are placed on travellers who have recently been in areas severely affected by the Coronavirus (in most cases, within the last 14 days). These restrictions can include bans on entry, mandatory quarantine on arrival, or the suspension of on-arrival visas.  If your dates coincide with the Countries travel restrictions your in luck. I had to wait weeks for my dates to come up but I called today and just got an email that my full refund has been processed .  Hoping this information helps someone else as it was a Long and stressful process but it worked",4,0,en,Bookingstar2345
528,TimP,unknown,2020-05-26T12:57:09.000Z,Use them for manys years,"Use them for manys years, never had any problems. Always book free to cancel hotels, even though I normally prepay to minimise large cash exchange. Had booked 2 trips overseas this year and had to cancel due to Covid19. All bookings, hotels and taxis, were refunded in less then a week.",5,0,en,Bookingstar2345
529,Mohammed Shah,unknown,2020-05-26T08:00:42.000Z,Very good company,"Very good company, I have used them many times to book my holidays to Dubai and Kenya, always good deals and friendly staff, very good prices aswell. I am now a genius member with them.",4,0,en,Bookingstar2345
530,Марченко Денис,unknown,2020-05-25T18:24:03.000Z,Booked a hotel right before departure,Booked a hotel right before departure. Very comfortable room chosen.,4,0,en,Bookingstar2345
531,Karen Barr,unknown,2020-05-25T09:48:28.000Z,Excellent customer service  Would…,"Excellent customer service  Would always use this company,so reiable",5,0,en,Bookingstar2345
532,Mr Jonothan Hunt,unknown,2020-05-22T16:15:59.000Z,Quick customer service,"I was able to quickly cancel my accommodation very quickly. More importantly, customer service was super quick and helpful.",5,0,en,Bookingstar2345
533,Jim Warwick,unknown,2020-05-21T10:44:51.000Z,Just to say I have had a positive cancellation experience...,"Just to say I have had a positive experience with booking.com over cancelling 3 hotels we had set up for our Norway holiday next month.  One of these had a ""cancel for free"" option, this was hassle free..The other ones, we had paid up-front for the cheap confirmed booking with no cancellation, and the hotels were still open in Norway - just no way for us to get to them.Contacting the hotels directly resulted in a very unsympathetic response (no refund - it's your problem, we're open).  Contacting them through booking.com has led to an agreement to refund the money - (will have to check back in a couple of weeks, but it's a +ve response at least).Booking.com customer service has been responsive and helpful - a damn site better than Ryanair and some others we've dealt with.",5,0,en,Bookingstar2345
534,G Doolan,unknown,2020-05-20T19:28:30.000Z,I had booked a flight with Jet2 to…,I had booked a flight with Jet2 to Corfu on 2nd June and booked two lots of accommodation Fays Luxury Sea View Rooms and Hotel Akrotiri. Both accommodations were on a non refundable basis. They both kindly agreed to a full refund given the current situation but Fays Luxury Sea View Rooms were a little more difficult to contact so Booking.com managed to contact them directly on my behalf. I received my refund to my credit card very promptly less than 7 days so have been extremely impressed. I'm not sure whether as a Genius Level 2 member you have the benefit of slightly higher level of service but I will always use them for accommodation bookings going forward.,5,0,en,Bookingstar2345
535,Georg Skivik Moltu,unknown,2020-05-20T11:35:26.000Z,Use booking.com mainly,Use booking.com mainly. PErfect for me i combionation with AirBnB,5,0,en,Bookingstar2345
536,Evelyn Kitchen,unknown,2020-05-19T10:28:43.000Z,Cancellation tips to avoid losing money!,"I am both a booking.com partner and have used them for all our holidays these past years, both in Europe and Africa, so understand both sides!! Yes the CS advisors are courteous and do their best, but booking.com has NO INTEREST in getting refunds for customers at this present time. We had a 4 night hotel reservation booked and paid for in London for last week and neither the property nor Booking.com were prepared to refund our money, eventhough the property website clearly stated „Essential workers only can stay, all other reservations will be cancelled“! It wasn‘t until I told the property that we would be driving to the UK to take our holiday and will they confirm our reservation is current that they finally agreed to refund our money in full!!  This is quite simply shocking behaviour and not the way we should be treating people at such a difficult time!! We too have lost business and will definitely do so this summer and no doubt next winter, however that does not mean „shaft customers!“ My advice to people who are having problems with accommodation refunds is to please be sure to cancel your reservation with an email sent through the booking.com system to the accommodation stating that you are cancelling and giving your travel problem reasons and not “no showing” as this will give you the right of recourse further down the line. If you just leave the reservation open, the property will mark you as a no show and then they and Booking.com are laughing all the way to the bank!!",2,4,en,Bookingstar2345
537,Dirk,unknown,2020-05-19T08:30:32.000Z,I can understand some of the negative…,"I can understand some of the negative reviews seen all the stress and uncertainty we all are living through.But I must say that I have had a very positive experience myself with booking.com.  Our holiday to Sri Lanka was canceled last most because the Sri Lankan government suspended all arriving flights from the UK.It did take some perseverance to get through to customer service, to be expected, but once through they were very courteous, listened to my case, got in touch with the properties in Sri Lanka and refunded everything couple of days later, with no proposal to give vouchers, rebook, unable to get in touch, and all the problems I have had with other agencies, including their biggest online competitor.So five stars from me.",5,0,en,Bookingstar2345
538,Lisa Walton,unknown,2020-05-18T10:40:55.000Z,Fantastic service let down by Sykes and…,Fantastic service let down by Sykes and booking.com have refunded the full amount.Always really helpful have used them many times and will continue to do so 😍😍,5,0,en,Bookingstar2345
539,Tom Evanovich,unknown,2020-05-17T12:37:01.000Z,It is really easy to book your hotel…,It is really easy to book your hotel reservations and also they were able to help cancel my reservations with ease due to the pandemic. Their costumer service was able to respond to my inquiries really fast and was able to assist me of my concerns.,4,0,en,Bookingstar2345
540,Patrick M,unknown,2020-05-16T18:37:52.000Z,Booking.com is the only website that does hassle-free refunds!,"Booking.com is the ONLY website & platform that had a no-stress, 100% money back return for my cancelled travels! Every other company I've dealt with is only issuing travel credits, so THANK YOU booking.com for being such an awesome company!",5,0,en,Bookingstar2345
541,Deniz Karadağ,unknown,2020-05-16T17:09:43.000Z,Great customer service,Great customer service. They helped me with my several reservations due to Covid19,5,0,en,Bookingstar2345
542,Some_Girl,unknown,2020-05-15T12:33:22.000Z,I have used Booking.com for several…,"I have used Booking.com for several years now and I have had no problems. However, since Covid-19 came into our lives I have been very disappointed by this company. I booked a hotel room in Wales but the hotel chain was shut due to the virus and will remain shut until July, my booking is for June, so naturally I asked for my money back since I cannot use the room.I contacted Booking.com and was told the money can't be refunded because my reservation is booked as non-refundable which is an absolute joke since it's not my fault I can't use the hotel room I've booked! If I had cancelled the booking, then fair enough I shouldn't get a refund, but I didn't cancel it - the hotel is shut, so I think I'm within my right to expect my money back.So far complete silence after I filed a complaint about this.EDIT: Booking.com got in touch with the hotel and helped me get a refund, turns out the hotel’s refund policy was getting in the way of a refund. Changed my star rating.",4,5,en,Bookingstar2345
543,Lesley Reilly,unknown,2020-05-15T07:50:22.000Z,Excellent Customer Service,"I hear about reviews and how they may not be genuine, but believe me, this is genuine.  I booked two hotels in Venice before the covid-19 crisis.  I hung on and hung on and kept the bookings.  But it seems that my trip to Venice with my two granddaughters won't take place so I went onto Booking.com and requested a refund.  As with a lot of other travel companies I expected some problems, delays because of the volume etc. I was very anxious.  In fact my booking was cancelled immediately and I received the refund in two days!!! Thank you Booking.com and when I rebook my Venice trip, and my New York trip I will certainly do it through you.  thank you.",5,0,en,Bookingstar2345
544,MR	MICHAEL NORMOYLE,unknown,2020-05-14T20:49:36.000Z,Very good service,"I had booked 2 hotels and a mini cab from airport in Thailand for May, also 2 B&B in Ireland for July. Due to Covid-19, my Bookings had to be cancelled, i received no quibble refunds within 4 days! Excellent service, especially in these troubled times. I think if your bookings are non-refundable it will be more difficult as the hotels don't want to give a refund even if Booking.com try. Probably best to send a few emails to Booking.com as proof of trying to resolve and then use section 75 or chargeback on your credit card.",5,0,en,Bookingstar2345
545,Dawn JUKES,unknown,2020-05-14T14:19:21.000Z,Excellent service,"Unfortunately, due to Covid-19, my Booking in June had to be cancelled,  received no quibble refund within 4 days! Excellent service, especially in these troubled times.",5,0,en,Bookingstar2345
546,TB,unknown,2020-05-13T10:43:38.000Z,Booked my trip to indonesia this year…,"Booked my trip to indonesia this year for our wedding.Because of CoVID-19 & reschedule from our wedding because of that, we couldn't go to Indonesia.After a couple of conversations with booking.com employees - the could contact the hotel for us & cancel free (we had no 'Free cancelation' because we thought nothing could happen -_- :D ).Thank you for the really good service booking! We will book our 'next' honeymoon with u guys again.GreetingsTom&Veerle",5,0,en,Bookingstar2345
547,Jenny Harington,unknown,2020-05-13T08:00:12.000Z,I booked one of my travels through…,I booked one of my travels through their website and I was amazed how easy and fast the transaction. Good customer service they update me from time to time regarding my travels.,4,0,en,Bookingstar2345
548,Shona ,unknown,2020-05-12T06:08:34.000Z,I had a really good experience with…,"I had a really good experience with booking.com during the covid19 crisis. When I tried to cancel the (various) hotels i had booked and the hotels were not responding I phoned the customer service lines, and although there was a bit of a wait, they phoned each hotel on my behalf and I had refunds within days for each hotel. Thank you.",5,0,en,Bookingstar2345
549,Tim Ford,unknown,2020-05-06T10:51:25.000Z,I am very happy and pleased with their…,I am very happy and pleased with their service and staff. I recently book different hotels on my vacation. All the hotels were perfect. I really enjoyed my vacation thanks to booking.com. I will surely book for my vacation in the future.,5,0,en,Bookingstar2345
550,Gemma Clarke,unknown,2020-05-06T07:37:52.000Z,Help during Covid19,"I was due a trip to Italy mid May, the hotels I had booked with (5 seperate hotels) have been difficult to deal with, however booking.com stepped in and helped me communicate with them. I now have refunds from 3 hotels, still waiting on 2. I booked non refundable hotels, but have managed to get refunds/free cancellation on them so far. Thankyou to Booking.com and their Twitter team who I have been communicating with for helping me with this. Its been harder than other companies I booked parts of my trip with - however patience is key.",4,0,en,Bookingstar2345
551,Ar57,unknown,2020-05-05T18:41:21.000Z,Poor booking.com,"Poor booking.com. seems they lost the plot with the airbnb-like competition. I was trying to search them for hotel near BUD airport and they have many with ""Additional charges may apply"" without specifying details of those charges, even when progressing in reservation. Hope dont see another CorVid-19 victim....",2,1,en,Bookingstar2345
552,jan,unknown,2020-05-05T09:16:30.000Z,I personally don't understand all the…,"I personally don't understand all the bad reviews. If you booked a non refundable stay then it means its not refundable... no matter what. Simple as that. I feel like people are only here to complain, but I have only good experiences with booking.com. They give a good overview of all the accommodations available. That is all they do. It's not up to booking.com to give you a refund.",5,0,en,Bookingstar2345
553,Colin Atkinson,unknown,2020-05-04T11:30:50.000Z,…Excellent Sevice,"I had booked 10 hotels and a car rental with Booking.com for a Rockies fly drive.When the Pandemic hit us I had to cancel them all , some with no refund terms. I am pleased that Booking.com refunded every booking , promptely.",4,0,en,Bookingstar2345
554,Phan Tony,unknown,2020-05-03T14:06:40.000Z,Good Platform for connecting,Good Platform for connecting,5,0,en,Bookingstar2345
555,Rhiannon Ernest,unknown,2020-05-02T10:08:54.000Z,Shambolic service,"Shambolic service, complete waste of time.I was contacted by booking.com, they told me I can change the dates of my trip. I provided them with the new dates and they said they had contacted the hotel to confirm everything, but asked me to contact the hotel directly to check availability.When contacting the hotel, the hotel told me booking.com had given me completely false information and that they'd been no agreement to change the dates.I understand it's an uncertain time and booking.com must be very busy, but I've been told incorrect information on two occasions and the person I spoke to clearly hadn't confirmed the information with the hotel. The only good thing I can say about my booking is that the hotel staff were great and really helpful. I will definitely be booking another stay there again, I just won't be using booking.com.",2,3,en,Bookingstar2345
556,Dhillon ,unknown,2020-05-02T04:26:48.000Z,I would highly recommend this service,I would highly recommend this service. The simplicity of the app is ahead of every other company in this field. Times are tough right now but they are trying there best.,5,0,en,Bookingstar2345
557,Shahaf,unknown,2020-05-01T15:27:12.000Z,I was very happy,I was very happy with the way they handle my reservation. We needed to make change and they did great effort contacting the hotel and negotiated a fair resolution.It’s not always the cheaper option but their service and availability are great,5,0,en,Bookingstar2345
558,Robbie,unknown,2020-04-29T15:40:40.000Z,Very easy cancellation procedures - full refunds,"I don't usually write reviews but had to based on my experience with booking.com. Like everyone else recently due to COVID19 we had to cancel all of our travel plans. We were 1 month into a 3 month trip to Asia and had all our accommodation pre-booked with booking.com. When we had to go home early because of the virus we had at least 12 upcoming trips booked on booking.com which we now couldnt make. A lot of these already had free cancellation policies which were very easy to do online. The others which had cancellation fees were very easy to contact booking.com via their online customer service chat and request free cancellation. We ended up cancelling all of our upcoming trips free of any cancellation costs and getting any prepayments refunded. It was a relatively painless experience, a vast difference from attempting to get flight refunds from airlines. I will certainly remember how booking.com acted during this pandemic and use them in the future",5,0,en,Bookingstar2345
559,Ivana,unknown,2020-04-29T04:52:38.000Z,Highly recommend,"I have booked at least 50 hotels through booking.com over the past 3 years or so and have never had any problems. Whenever I've had to change or cancel a non-refundable booking, the customer service agents have always been extremely helpful. Over the past 6 months, I have unfortunately had to cancel 5 non-refundable stays, firstly due to a typhoon grounding flights and now due to COVID-19. On both occasions, booking.com has been extremely helpful and I have gotten my money back quickly and easily. I will keep booking through their site and would highly recommend them!",5,0,en,Bookingstar2345
560,Jacqueline Cuthbert,unknown,2020-04-28T10:18:42.000Z,In the past I have used Booking.com and…,"In the past I have used Booking.com and found them to be great but when it comes to Covid-19 I have found that they are terrible at making decisions, communicating and keeping you informed.I booked 2 hotel stays (earlier this year) as I was travelling to London for May this year - from New Zealand. I paid for one stay and decided to pay for the other when I arrived.Problem is I cant get to the UK because of multi country border closures, restrictions, flight cancellations and quarantines.  When I tried to explain it to the hotel they said they couldnt refund me because I needed to speak to Booking.com.  When I spoke to Booking.com they said they talked to the hotel and the hotel refused to refund me - so there was nothing they could do.  Both seemed to blame the other.Admittedly there was a no cancellation option on the stays but I tried to explain that while I completely accepted that, who could have known there would be a world wide pandemic??  I was asking for some leniency given the extreme situation.I was then offered a credit to use in the next 12 months (at the hotel booked).  Trying to explain that I couldnt get to the UK within 12 months (I would need to pass through 3-4 borders AND covid-19 would need to be gone or a vaccination readily available by May 2021) seemed to fall on deaf ears.There was simply a complete lack of interest or understanding of the current world wide situation and its impact on travelling.In then end my sister and I have had to accept that we would lose approx $2500 - no refunds, no way to use a credit within 12 months.My intention is to delete my account with booking.com and go with another app in the future.I would be reluctant to recommend them and encourage others to be cautious",2,2,en,Bookingstar2345
561,Mick,unknown,2020-04-24T16:41:31.000Z,Little profit huge amount of issues.,"Pocket financial gain, huge amount of issues.You have to prepare yourself.",2,1,en,Bookingstar2345
562,Milda Scerbinskaite,unknown,2020-04-24T14:56:47.000Z,So far the best COVID situation…,"So far the best COVID situation handling I've seen. Got all refunds, going to book more stays the same minute I can. Earned my loyalty 100%",5,0,en,Bookingstar2345
563,B L,unknown,2020-04-24T09:20:21.000Z,I go a refund within 48 hours,I go a refund within 48 hours. Compare to other companies this one deserves 5 stars only for that.,5,0,en,Bookingstar2345
564,marlene,unknown,2020-04-23T09:12:48.000Z,Refund,Had booked a hotel in Spain non refundable but due to coronavirus it was cancelled and I received my refund within a week great service from booking. Com and apartments La Caseta very happy customer,5,0,en,Bookingstar2345
565,GeorgeP,unknown,2020-04-23T05:36:15.000Z,I planned to write my review for a very…,"I planned to write my review for a very long time, just the topic is very extensive, and could not get my thoughts together. When there was a bit more free time than usual, I immediately started writing a review.To begin with Booking.com has a very clear, convenient interface. So intuitive that even my mother, who is not very computer friendly, can independently find and book the right hotel without any problems.It should be noted that only a real customer who has booked an accommodation option on Booking.com can leave a review. A few days after leaving the hotel, a response request is received by e-mail.Booking for me is the most convenient hotel search sites around the world. I have never had any overlays. I am very pleased with this service and will use it again.",5,0,en,Bookingstar2345
566,Iain Tanner,unknown,2020-04-22T23:42:14.000Z,Had a non refundable booking at hotel…,"Had a non refundable booking at hotel in Kiel Germany. When I had to cancelled it due to COVID-19 I contacted the hotel direct, as suggested by bookings.com, for a refund. The hotel decided to provide me with a refund via Bookings.com. I contact bookings.com on the phone and it was all sorted within 10 minutes. I received an email confirming the amount of the refund and when I should receive the refund. Can not fault the service I received.",5,0,en,Bookingstar2345
567,Jefe nor,unknown,2020-04-20T08:53:04.000Z,excellent,"I read some (bad) reviews, but in my case booking.com were excellent and not only the website the hotel I made the reservation (St. John Island View Pensionne in palawan philippines on the dates May 5th to the 8th) also, returned the  money smoothly, thanks booking.com and the hotel",5,0,en,Bookingstar2345
568,John Campbell,unknown,2020-04-18T20:53:17.000Z,Good Customer Service,I  booked a hotel in Hong Kong but had to cancel as a result of COVID-19. The hotel refused to refund me despite my flight having been cancelled by the airline. They would adamant that no refund would be made.Booking.com were not so unreasonable and made a goodwill refund.The result of this experience with Booking.com is that I will always use them for future accommodation and flight bookings.,5,2,en,Bookingstar2345
569,Kevin Francis,unknown,2020-04-15T00:01:14.000Z,After a long month of battling with…,"After a long month of battling with hoseasons for a refund after my holiday was cancelled, i phoned booking.com who couldbt be more helpful, gave the hotel 2 days to confirm it was closed then had a full refund issued to me with no cancellation fees",5,0,en,Bookingstar2345
570,Raju Khelna,unknown,2020-04-14T19:25:59.000Z,This has been cancelled due to the…,"This has been cancelled due to the lockdown re Covid 19.They say a refund is not available as theirBooking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ Booking.com₦̳Ʉ̳₥̳฿̳Ɇ̳Ɽ̳ ̳+̳'̳'̳1̳ ̳'̳'̳'̳8̳'̳'̳'̳ ̳5̳'̳'̳'̳ ̳5̳ ̳'̳'̳'̳ ̳4̳'̳'̳ ̳8̳'̳'̳ ̳5̳ ̳'̳'̳O̳'̳'̳4̳'̳'̳'̳'̳O̳'̳'̳'̳'̳'̳7̳ prices are competitively set. Under normal circumstances we would be going. I have asked for a deferrment to a future date. They have refused and are not being flexible at all. I will not be booking with this company ever again, nor will I be booking anything with Booking.comI really cannot afford for £551 to be written off. Easy money for you Nice Stay Ltd!",3,2,en,Bookingstar2345
571,Iman Deen,unknown,2020-04-11T10:32:01.000Z,Prompt response,Had a reservation for a hotel (refundable) which I had to cancel due to the virus and travel cancelled. Refund was issued promptly.,4,0,en,Bookingstar2345
572,Anonym,unknown,2020-04-10T15:42:06.000Z,Dedicated team,"Straightforward rules, dedicated team. Even when being overwhelmed by COVID-19 situation, they have a solution to get a voucher or in many cases a full refund.Surely all these whiny people here booked non-refundable, being cheap af. Being surprised when they get no refund. Think before you book!",5,0,en,Bookingstar2345
573,Stuart,unknown,2020-04-10T12:41:12.000Z,Received refund for taxi transfers - WELL DONE!,"Received refund for taxi transfers within 2 days - great service and so, so simple",5,0,en,Bookingstar2345
574,Meganh01,unknown,2020-04-08T20:18:12.000Z,Helpful,"Booking.com have been extremely helpful in resolving an issue I had with a pre-paid booking, thank you for your assistance.",5,0,en,Bookingstar2345
575,Serdar,unknown,2020-04-08T17:25:21.000Z,nice of booking.com on the refund issue.,"I needed to cancel a non-refundable booking due to COVID-19 issue and asked if I could have a part refund due to this unusual situation. Although it's economically bad period for the hospitality and booking sector, but Booking.com still did a full refund. I highly appreciate it.",5,0,en,Bookingstar2345
576,ebony nelson,unknown,2020-04-07T20:52:56.000Z,I used booking and will never use them…,"I used booking and will never use them again, my security deposit was never refunded when I've been told on several occasions it would be also, they cancelled my appointment in the system even though we stayed there. I've never experienced this ever at Expedia.Finally spoke to a manger and he did get my issue resolved",5,0,en,Bookingstar2345
577,Elizabeth8 Clapham,unknown,2020-04-06T18:51:13.000Z,More recently went on Booking.com and they had introduced the option of rebooking for later in the year so we booked for October. Previously this wasn't an option so an improvement in the situation.,"Booked 4 nights at the Cottage in Belford, Northumberland, paying £280. There was no option to pay extra for cancellation. Due to Covid 19 it looks like we will be unable to go so rang the owner. She was totally unsympathetic and refused to rebook or refund the money, with the excuse that Booking.com deal with everything. Their site says no refund is possible. Utter rip-off!",2,0,en,Bookingstar2345
578,Michael Mullen,unknown,2020-04-06T13:17:50.000Z,I forgot to post when I went to Paris…,I forgot to post when I went to Paris tuck my girlfriend in February and I was so scared of Reading all the reviews but not one think was wrong the hotel was payed for and perfect the flights were fine if I had one think to say the staff were a little rude but apart from that we had amazing holiday and was so cheap I would use them again,4,0,en,Bookingstar2345
579,Pauline Bailey,unknown,2020-04-06T09:34:48.000Z,Customer Service Improved within a hour!,"Having read some of the negative reviews, I had to leave a negative review as I was getting nowhere with trying to get my money back for a parking booking.  After leaving my review I emailed the CEO - Matthew Pack, who has in the last 10 minutes emailed me to say that I will be getting a full refund.  ‘They are waiving all cancellation fees even for non-flex special offer bookings’.  I have now been sent a voucher for the full amount which is valid for a year.  Thanks.",4,1,en,Bookingstar2345
580,giles de lotz,unknown,2020-04-05T15:42:53.000Z,Happy,With everything that is going on at the moment and the bad reviews that people have written I am very happy with them they didn't give me any problems and return my money straight away thank you,5,0,en,Bookingstar2345
581,Ioannis,unknown,2020-04-03T12:00:55.000Z,Automatically satisfied my request in just one click no further communication needed!,"I had a reservation with partial-refund in case of cancellation, but unfortunately my flight got cancelled due to coronavirus, so I couldn't stay at the hotel. All I had to do to get a full refund was to press one button!On the other hand, in one of their main competitors, I wasted an extensive amount of time in calls and e-mails to sort out my issue, with no result!I appreciate the effort booking.com puts during these hard times and how easy they make our request handling by automatizing the process. This is not only beneficial for us, travelers, but also for them as it decreases the traffic to their call centers. I don't understand why the competitor cannot do the same.",5,0,en,Bookingstar2345
582,Tiv Snthr,unknown,2020-04-03T07:52:44.000Z,Outstanding help with refund,Booking.com were great with helping me out with my hotel reservation refund. It took a few calls over the course of 2 weeks however managed to get me a refund with hotel especially when they refused first few times. Persistence is key! Thank you to those who helped me during this tricky period.,5,0,en,Bookingstar2345
